DEAL,DEALTYPE,PROPTYPE_J,STATE,NTRAN,IRR,TVPI
2,0,3,8,-81.69,-0.09856633599999999,1.039791702
2,0,3,8,-21.39,-0.09856633599999999,1.039791702
2,0,3,8,452.22,-0.09856633599999999,1.039791702
2,0,3,8,-10.45,-0.09856633599999999,1.039791702
2,0,3,8,-27.44,-0.09856633599999999,1.039791702
2,0,3,8,1.0,-0.09856633599999999,1.039791702
2,0,3,8,0.01,-0.09856633599999999,1.039791702
2,0,3,8,-46.67,-0.09856633599999999,1.039791702
2,0,3,8,675.36,-0.09856633599999999,1.039791702
2,0,3,8,-87.5,-0.09856633599999999,1.039791702
2,0,3,8,-0.01,-0.09856633599999999,1.039791702
2,0,3,8,561.69,-0.09856633599999999,1.039791702
2,0,3,8,-33.78,-0.09856633599999999,1.039791702
2,0,3,8,-130.0,-0.09856633599999999,1.039791702
2,0,3,8,-0.06,-0.09856633599999999,1.039791702
2,0,3,8,-0.08,-0.09856633599999999,1.039791702
2,0,3,8,-0.09,-0.09856633599999999,1.039791702
2,0,3,8,-0.03,-0.09856633599999999,1.039791702
2,0,3,2,-152152.0,-0.055965259,1.171046016
2,0,3,2,-4434.29,-0.055965259,1.171046016
2,0,3,2,1470.2,-0.055965259,1.171046016
2,0,3,2,-1770.05,-0.055965259,1.171046016
2,0,3,2,-123.43,-0.055965259,1.171046016
2,0,3,2,-1356.41,-0.055965259,1.171046016
2,0,3,2,92.59,-0.055965259,1.171046016
2,0,3,2,-205.77,-0.055965259,1.171046016
2,0,3,2,2123.33,-0.055965259,1.171046016
2,0,3,2,-781.43,-0.055965259,1.171046016
2,0,3,2,-134.95,-0.055965259,1.171046016
2,0,3,2,2123.33,-0.055965259,1.171046016
2,0,3,2,-464.15,-0.055965259,1.171046016
2,0,3,2,-145.5,-0.055965259,1.171046016
2,0,3,2,-10.53,-0.055965259,1.171046016
2,0,3,2,-134.84,-0.055965259,1.171046016
2,0,3,2,375.27,-0.055965259,1.171046016
2,0,3,2,-292.08,-0.055965259,1.171046016
2,0,3,2,2123.33,-0.055965259,1.171046016
2,0,3,2,-134.83,-0.055965259,1.171046016
2,0,3,2,-44.1,-0.055965259,1.171046016
2,0,3,2,-121.3,-0.055965259,1.171046016
2,0,3,2,4246.66,-0.055965259,1.171046016
2,0,3,2,-54.37,-0.055965259,1.171046016
2,0,3,2,-111.68,-0.055965259,1.171046016
2,0,3,2,2123.33,-0.055965259,1.171046016
2,0,3,2,-521.28,-0.055965259,1.171046016
2,0,3,2,-111.67,-0.055965259,1.171046016
2,0,3,2,-1188.92,-0.055965259,1.171046016
2,0,3,2,2123.33,-0.055965259,1.171046016
2,0,3,2,-111.59,-0.055965259,1.171046016
2,0,3,2,-234.99,-0.055965259,1.171046016
2,0,3,2,2123.33,-0.055965259,1.171046016
2,0,3,2,-111.59,-0.055965259,1.171046016
2,0,3,2,986.33,-0.055965259,1.171046016
2,0,3,2,2123.33,-0.055965259,1.171046016
